ID_region,year,p3571-podmiejskie
011210000000,2014,193
011210000000,2015,235
011210000000,2016,186
011210000000,2017,177
011210000000,2018,153
011210000000,2019,142
011210000000,2020,115
012410000000,2014,569
012410000000,2015,573
012410000000,2016,525
012410000000,2017,523
012410000000,2018,415
012410000000,2019,265
012410000000,2020,261
020810000000,2014,567
020810000000,2015,644
020810000000,2016,597
020810000000,2017,702
020810000000,2018,490
020810000000,2019,504
020810000000,2020,489
023010000000,2014,1048
023010000000,2015,1002
023010000000,2016,954
023010000000,2017,871
023010000000,2018,794
023010000000,2019,821
023010000000,2020,815
023210000000,2014,676
023210000000,2015,615
023210000000,2016,644
023210000000,2017,618
023210000000,2018,603
023210000000,2019,513
023210000000,2020,512
030210000000,2014,1004
030210000000,2015,897
030210000000,2016,867
030210000000,2017,829
030210000000,2018,753
030210000000,2019,742
030210000000,2020,774
031610000000,2014,332
031610000000,2015,333
031610000000,2016,417
031610000000,2017,419
031610000000,2018,410
031610000000,2019,449
031610000000,2020,479
040410000000,2014,1723
040410000000,2015,1230
040410000000,2016,1272
040410000000,2017,1307
040410000000,2018,1295
040410000000,2019,1281
040410000000,2020,1062
042210000000,2014,631
042210000000,2015,583
042210000000,2016,577
042210000000,2017,566
042210000000,2018,542
042210000000,2019,542
042210000000,2020,499
042810000000,2014,482
042810000000,2015,493
042810000000,2016,555
042810000000,2017,428
042810000000,2018,400
042810000000,2019,242
042810000000,2020,187
051010000000,2014,674
051010000000,2015,657
051010000000,2016,743
051010000000,2017,704
051010000000,2018,557
051010000000,2019,550
051010000000,2020,497
052610000000,2014,332
052610000000,2015,317
052610000000,2016,287
052610000000,2017,270
052610000000,2018,245
052610000000,2019,254
052610000000,2020,242
060610000000,2014,900
060610000000,2015,857
060610000000,2016,709
060610000000,2017,714
060610000000,2018,674
060610000000,2019,595
060610000000,2020,594
061810000000,2014,566
061810000000,2015,614
061810000000,2016,667
061810000000,2017,745
061810000000,2018,717
061810000000,2019,823
061810000000,2020,728
062010000000,2014,462
062010000000,2015,452
062010000000,2016,442
062010000000,2017,30
062010000000,2018,379
062010000000,2019,439
062010000000,2020,381
071410000000,2014,247
071410000000,2015,246
071410000000,2016,263
071410000000,2017,296
071410000000,2018,216
071410000000,2019,232
071410000000,2020,252
071420000000,2014,1617
071420000000,2015,1564
071420000000,2016,1551
071420000000,2017,1444
071420000000,2018,914
071420000000,2019,706
071420000000,2020,568
